round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,zkpay,1744,africa,Infra Tech,https://gitcoin.co/grants/1744/zkpay,1,21,20,104,104,105,105,africa,1,32850,3
GR12,12,2021-12-01,2021-12-16,Coinocracy: venture DAOs for all,3959,north_america,Infra Tech,https://gitcoin.co/grants/3959/coinocracy-venture-daos-for-all,1,22,22,294,294,295,295,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,web3swift - Elegant Web3 functionality in Swift,358,europe,Infra Tech,https://gitcoin.co/grants/358/web3swift-elegant-web3-functionality-in-swift,1,35,34,85,85,86,86,europe,1,1386166,9
GR12,12,2021-12-01,2021-12-16,Quartile,3566,undefined,NFTs,https://gitcoin.co/grants/3566/quartile,1,44,33,260,260,261,261,worlwide,1,1502191,2
GR12,12,2021-12-01,2021-12-16,Crypto Commons Association - support a Hub for planet regeneration!,2073,europe,Community,https://gitcoin.co/grants/2073/crypto-commons-association-support-a-hub-for-plan,1,23,23,169,169,170,170,europe,1,1386166,4
GR12,12,2021-12-01,2021-12-16,Njombe Innovation Academy [Panvala league],2687,africa,Community,https://gitcoin.co/grants/2687/njombe-innovation-academy-panvala-league,1,21,19,175,175,176,176,africa,1,32850,3
GR12,12,2021-12-01,2021-12-16,rugpullindex.com - Illuminating the dark forest,2763,europe,dApp Tech,https://gitcoin.co/grants/2763/rugpullindexcom-illuminating-the-dark-forest,1,22,21,152,152,153,153,europe,1,1386166,3
GR12,12,2021-12-01,2021-12-16,DEGEN: The DAO Discord Administrative Bot,4063,north_america,Community,https://gitcoin.co/grants/4063/degen-the-dao-discord-administrative-bot,1,20,19,302,302,303,303,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Furucombo - Build your own DeFi legos into one transaction without knowing how to code.,711,undefined,dApp Tech,https://gitcoin.co/grants/711/furucombo-build-your-own-defi-legos-into-one-tran,1,24,23,57,57,58,58,worlwide,1,1502191,8
GR12,12,2021-12-01,2021-12-16,Mix.eth - A portfolio tracker with privacy and security as its core owned by the Dxdao,528,none,Infra Tech,https://gitcoin.co/grants/528/mixeth-a-portfolio-tracker-with-privacy-and-secur,1,36,34,90,90,91,91,worlwide,1,1502191,4
GR12,12,2021-12-01,2021-12-16,MolochV3 (codename: Baal),2918,north_america,dGov,https://gitcoin.co/grants/2918/molochv3-codename-baal,1,30,30,424,424,425,425,north america,1,2341629,3
GR12,12,2021-12-01,2021-12-16,MintFund → Helping Creators Mint their First NFTs.,2069,north_america,NFTs,https://gitcoin.co/grants/2069/mintfund-helping-creators-mint-their-first-nfts,1,22,21,1694,1694,1695,1695,north america,1,2341629,4
GR12,12,2021-12-01,2021-12-16,Ethropy,4168,north_america,Grants Round 12,https://gitcoin.co/grants/4168/ethropy,1,16,16,205,205,206,206,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,DeFiPedia,806,north_america,Community,https://gitcoin.co/grants/806/defipedia,1,15,15,369,369,370,370,north america,1,2341629,7
GR12,12,2021-12-01,2021-12-16,Discord bot allowing only NFTs holders to join your spaces,3803,east_asia,Community,https://gitcoin.co/grants/3803/discord-bot-allowing-only-nfts-holders-to-join-yo,1,24,24,176,176,177,177,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,verse gallery - the first physical NFT gallery in Scandinavia,4126,europe,Grants Round 12,https://gitcoin.co/grants/4126/verse-gallery-the-first-physical-nft-gallery-in-s,1,17,17,122,122,123,123,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Beacon Book,2141,undefined,Community,https://gitcoin.co/grants/2141/beacon-book,1,23,23,255,255,255,255,worlwide,1,1502191,4
